file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00154_0052_191252_to_197901,ང་པི་ཅིང་དུ་སྡོད་རིང་བོད་ཤར་ཕྱོགས་ས་གནས་ཁག་གི་འཐུས་མི་མང་པོ་ཡོང་སྟེ་ཕྲན་ཕྱིར་ལོག་སྐབས་ ,nga pi cing du sdod ring bod shar phyogs sa gnas khag gi 'thus mi mang po yong ste phran phyir log skabs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00154_0052_191252_to_197901.wav,STT_AB,2,87,6.649,wav16k/STT_AB00154_0052_191252_to_197901.wav,ང་པེ་ཅིང་དུ་སྡོད་རིང་བོད་ཤར་ཕྱོགས་ས་གནས་ཁག་གི་འཐུས་མི་མང་པོ་ཡོང་སྟེ་ཕྲན་ཕྱིར་ལོག་སྐབས་
STT_AB00154_0055_209241_to_212447,ཁོང་ཚོའི་འདོད་མོས་ཀྱི་ས་གནས་ཚོར་འགྲོ་ཁོམ་མ་བྱུང་།  ,khong tsho'i 'dod mos kyi sa gnas tshor 'gro khom ma byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00154_0055_209241_to_212447.wav,STT_AB,2,51,3.206,wav16k/STT_AB00154_0055_209241_to_212447.wav,ཁོང་ཚོའི་འདོད་མོས་ཀྱི་ས་གནས་ཚོར་འགྲོ་གོམ་མ་བྱུང་།
STT_AB00154_0056_213510_to_215637,མོ་ཌོར་བགྲོད་ལམ་ཡོད་པའི་དགོན་ཁག་ཚོར་ ,mo Dor bgrod lam yod pa'i dgon khag tshor _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00154_0056_213510_to_215637.wav,STT_AB,2,37,2.127,wav16k/STT_AB00154_0056_213510_to_215637.wav,མོ་ཊོར་བགྲོད་ལམ་ཡོད་པའི་དགོན་ཁག་ཚོར་
STT_AB00154_0065_240966_to_251429,ཁུལ་དེའི་ས་མཚམས་ཉེ་སྐོར་ས་ཕྱོགས་གང་སར་མི་ཚང་མ་སེམས་སྡུག་གི་རྣམ་འགྱུར་སྟོན་ཞིང་། བོད་མི་ཚོས་རྒྱ་མིར་ཞེན་ལོག་གི་བསམ་བློ་སྐྱེ་ཤུགས་ཇེ་ཆེར་འགྲོ་བཞིན་འདུག ,khul de'i sa mtshams nye skor sa phyogs gang sar mi tshang ma sems sdug gi rnam 'gyur ston zhing /_bod mi tshos rgya mir zhen log gi bsam blo skye shugs je cher 'gro bzhin 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00154_0065_240966_to_251429.wav,STT_AB,2,150,10.463,wav16k/STT_AB00154_0065_240966_to_251429.wav,ཁུལ་དེའི་ས་མཚམས་ཉེ་སྐོར་ས་ཕྱོགས་གང་སར་མི་ཚང་མ་སེམས་སྡུག་གི་རྣམ་འགྱུར་སྟོན་ཞིང་། བོད་མི་ཚོས་རྒྱ་མིའི་ཞེན་ལོག་གི་བསམ་བློ་སྐད་ཤུགས་ཇེ་ཆེར་འགྲོ་བཞིན་འདུག
STT_AB00155_0117_458097_to_463986,བོད་ལ་ཡུལ་གཞན་སུས་ཀྱང་ཐེ་བྱུས་བྱེད་མི་འཇུག་པར་དོགས་ཟོན་དགོས་པའི་རྣམ་འགྱུར་གསལ་པོ་བསྟན་གྱི་འདུག་ ,bod la yul gzhan sus kyang the byus byed mi 'jug par dogs zon dgos pa'i rnam 'gyur gsal po bstan gyi 'dug _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0117_458097_to_463986.wav,STT_AB,2,96,5.889,wav16k/STT_AB00155_0117_458097_to_463986.wav,བོད་ལ་ཡུལ་གཞན་སུས་ཀྱང་ཐད་བྱུས་བྱེད་མི་འཇུག་པར་དོགས་ཟན་དགོས་པའི་རྣམ་འགྱུར་གསལ་པོ་སྟོན་གི་འདུག
STT_AB00155_0118_465083_to_468441,དེ་ནས་ཕྲན་རྒྱ་གར་དུ་འགྲོ་རྒྱུའི་སྐོར་གླེང་མོལ་བརྗོད་གསལ་ ,de nas phran rgya gar du 'gro rgyu'i skor gleng mol brjod gsal _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0118_465083_to_468441.wav,STT_AB,2,57,3.358,wav16k/STT_AB00155_0118_465083_to_468441.wav,དེ་ནས་ཕྲན་རྒྱ་གར་དུ་འགྲོ་རྒྱུའི་སྐོར་གླེང་མོལ་བརྗོད་གསལ།
STT_AB00155_0139_541172_to_543062,ཡར་རྒྱས་སུ་ཡོད་ཚུལ་བརྗོད་དགོས།  ,yar rgyas su yod tshul brjod dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0139_541172_to_543062.wav,STT_AB,2,32,1.89,wav16k/STT_AB00155_0139_541172_to_543062.wav,ཡར་རྒྱས་སུ་ཡོད་ཚུལ་བརྗོད་དགོས།
STT_AB00155_0140_543822_to_552124,སྲིད་བློན་ནེ་རུ་དང་། འགྲོ་འཁྲིད་ཆེ་ཁག་ལ། བོད་ས་ཁུལ་འགའ་ཤས་སུ་ཟིང་ལངས་ཡོད་པའི་སྐོར་ཕྲན་བུ་མང་བ་བཤད་ཆོག་ཟེར་འདུག ,srid blon ne ru dang /_'gro 'khrid che khag la/_bod sa khul 'ga' shas su zing langs yod pa'i skor phran bu mang ba bshad chog zer 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0140_543822_to_552124.wav,STT_AB,2,111,8.302,wav16k/STT_AB00155_0140_543822_to_552124.wav,སྲིད་བློན་ནེའུ་རུ་དང་འགོ་འཁྲིད་ཆེ་ཁག་ལ་བོད་ས་ཁུལ་འགའ་ཤས་སུ་ཟིན་ལང་ཡོད་པའི་སྐོར་ཕྲན་བུ་མང་བ་བཤད་ཆོག་ཟེར་འདུག
STT_AB00155_0136_532296_to_534068,བོད་ནང་གི་གནས་ཚུལ་དྲི་བ་བྱུང་ན།  ,bod nang gi gnas tshul dri ba byung na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0136_532296_to_534068.wav,STT_AB,2,33,1.772,wav16k/STT_AB00155_0136_532296_to_534068.wav,བོད་ནང་གི་གནས་ཚུལ་འདྲི་བ་བྱུང་ན།
STT_AB00155_0144_569337_to_570299,ཁོ་བོའི་བཀོད་མངགས་ལྟར།  ,kho bo'i bkod mngags ltar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0144_569337_to_570299.wav,STT_AB,2,24,0.962,wav16k/STT_AB00155_0144_569337_to_570299.wav,ཁོ་བོའི་བཀོད་མངག་ལྟར་
